OBP Difference,AVG Difference,SLG Difference,OPS Difference,ERA Difference,WHIP Difference,K9 Difference,BB9 Difference,Home Recency Adv,Run Differential,Head to Head,Home Win
-0.003,-0.022,0.063,0.06,6.13,0.955,2.5,1.4,4,82,5,1
0.004,0.025,0.112,0.117,-1.52,0.287,-6.6,1.2,-2,-105,-1,1
0.029,0.052,0.131,0.16,0.86,-1.214,-1,1,0,44,0,1
0.074,0.07,0.109,0.182,-1.5,-0.012,-0.3,1,4,17,1,0
0.002,-0.042,-0.047,-0.044,4.97,-0.36,-5.5,3.1,0,21,0,1
0.014,-0.004,-0.062,-0.048,1.8,0,-4.2,-0.3,-1,-35,-1,1
-0.052,-0.048,0.003,-0.049,2.23,-1.496,-2.1,3.9,2,1,0,1
-0.047,-0.05,-0.178,-0.226,0.21,-1.118,3,3.4,2,-69,0,0
0.027,0.032,0.053,0.08,-1.98,-0.717,-2,1.4,-1,-2,0,1
0.009,0.02,-0.059,-0.05,2.84,0.961,2.5,0.5,2,40,0,1
-0.017,-0.011,-0.024,-0.041,-0.07,1.755,5.9,0.2,-1,19,1,0
0.033,0.062,0.068,0.101,-0.91,-0.882,0,2.2,-1,-82,0,1
0.017,-0.035,-0.003,0.014,-2.19,-1.495,-2.5,-0.7,0,39,0,1
-0.009,0.009,-0.047,-0.056,-2.84,0.2,-0.5,-0.1,1,-77,-2,0
-0.034,-0.022,0.025,-0.009,-4.65,-1.237,1,-2,2,11,0,0
-0.049,-0.04,-0.123,-0.172,-3.15,-1.402,2.5,0.4,-4,-31,0,0
-0.026,-0.005,-0.076,-0.101,1.22,0.762,-0.3,-1.2,2,-77,0,1
-0.007,-0.014,-0.023,-0.03,-1.46,-0.663,-1.1,1.5,-1,0,0,1
0,0.006,-0.022,-0.021,-4.3,-2.773,-0.5,4.6,-5,-91,-1,1
0.052,0.053,0.035,0.087,0.3,-0.4,1.5,2.1,2,48,0,0
-0.069,-0.041,-0.116,-0.185,-3.56,-1.887,-3.4,1.2,-5,-89,0,0
-0.052,-0.032,-0.043,-0.096,0.48,0.667,-3,2.4,-1,17,1,1
0.012,0.001,-0.087,-0.075,-6.48,-3.962,11.9,2.2,-1,-118,0,0
0.008,0.019,0.09,0.098,-4.97,-2.122,-2.6,3.9,-1,55,0,1
-0.021,-0.035,-0.037,-0.058,-1.74,-1.696,-6.3,3.4,0,67,0,1
0.062,0.073,0.089,0.151,1.04,1.135,-2.6,-1.4,-1,-80,0,1
0.058,0.022,0.118,0.176,4.5,3.417,-7,-2.2,0,63,1,1
-0.011,0.011,-0.041,-0.052,2.37,0.803,-1.3,-3.7,1,-89,-2,0
-0.023,-0.033,0.004,-0.019,6.08,2.799,4.8,-1.8,2,9,1,1
-0.008,-0.019,-0.067,-0.075,-4.1,-2.62,-4.1,-1.9,-4,-39,0,0
-0.028,-0.019,-0.08,-0.106,2.31,3.171,-8.5,-3.3,1,-71,-1,1
0.002,0.011,0.084,0.086,-0.24,0.743,2.3,-1.7,-1,2,1,1
