Gameid,Home,Visitor,Date,Home Wins,Visitor Wins,Home Losses,Visitor Losses,Home Total Runs Difference,OBP Difference,AVG Difference,SLG Difference,OPS Difference,ISO Difference,Hits Difference,Strikeouts Difference,Walks Difference,ERA Difference,WHIP Difference,K9 Difference,BB9 Difference,Home Recency Adv,Run Differential,Head to Head,Home Win
20230418DETCLE,DET,CLE,20230418,5,9,9,7,-1.0,-0.0050000000000000044,0.007000000000000006,0.020000000000000018,0.015000000000000013,0.013000000000000012,-17,25,-20,4.52,-0.16800000000000015,-0.7999999999999998,3.4,-1,-35.0,0,1
20230418HOUTOR,HOU,TOR,20230418,8,10,9,7,0.0,-0.0050000000000000044,-0.01100000000000001,0.0030000000000000027,-0.0020000000000000018,0.014000000000000012,-15,15,5,5.279999999999999,0.782,0.5999999999999996,-1.8000000000000003,-1,21.0,1,0
20230418KCATEX,KCA,TEX,20230418,4,10,13,6,-47.0,0.019000000000000017,0.0010000000000000009,0.009999999999999953,0.028000000000000025,0.008999999999999952,6,34,11,4.2,1.2419999999999995,-2.4000000000000004,2.5,-3,-56.0,-2,0
20230418NYAANA,NYA,ANA,20230418,10,8,6,8,9.0,-0.09199999999999997,-0.07800000000000001,-0.09500000000000003,-0.18800000000000006,-0.017000000000000015,-25,6,-6,2.370000000000001,0.9390000000000001,2.8000000000000007,3.1,2,13.0,0,0
20230418OAKCHN,OAK,CHN,20230418,3,9,14,6,-45.0,-0.011999999999999955,-0.033999999999999975,-0.08300000000000002,-0.09400000000000008,-0.049000000000000044,-31,9,2,-9.2,-2.8,-3.4000000000000004,0.20000000000000018,-6,-97.0,-1,0
20230418SEAMIL,SEA,MIL,20230418,8,12,9,5,-18.0,-0.09499999999999997,-0.07599999999999998,-0.08400000000000002,-0.17900000000000005,-0.008000000000000035,3,0,-16,-1.1699999999999997,-1.72,1.5,0.6000000000000001,0,-28.0,-1,0
20230419CINTBA,CIN,TBA,20230419,7,15,10,3,-61.0,-0.03799999999999998,-0.03600000000000003,-0.18099999999999994,-0.22100000000000009,-0.1449999999999999,-22,10,-2,2.6,2.597,-9.9,-2.1,-3,-83.0,0,0
20230419COLPIT,COL,PIT,20230419,5,11,13,7,-9.0,-0.020000000000000018,-0.0030000000000000027,-0.067,-0.08699999999999997,-0.064,-20,16,-16,-5.71,-1.3780000000000006,-2.4000000000000004,1.7999999999999998,-4,-48.0,-2,0
20230419LANNYN,LAN,NYN,20230419,9,11,9,7,12.0,-0.040000000000000036,-0.017000000000000015,0.063,0.02299999999999991,0.08000000000000002,-4,33,-13,-1.12,0.0,1.6999999999999993,-2.8,-3,12.0,0,0
20230419MIASFN,MIA,SFN,20230419,10,5,8,11,-3.0,-0.04799999999999999,-0.031000000000000028,-0.019000000000000017,-0.06900000000000006,0.01200000000000001,10,18,-7,-1.06,0.7959999999999998,0.7999999999999989,1.7,5,-14.0,2,0
20230419SDNATL,SDN,ATL,20230419,8,14,11,4,-8.0,-0.04999999999999999,-0.06699999999999998,-0.10999999999999999,-0.15899999999999992,-0.04300000000000001,-18,3,7,-1.7399999999999998,0.9000000000000004,-1.0,1.1999999999999997,-5,-44.0,0,1
20230419SLNARI,SLN,ARI,20230419,7,11,11,7,-21.0,-0.03600000000000003,-0.04200000000000004,-0.10000000000000003,-0.135,-0.057999999999999996,13,26,19,2.25,1.13,1.6000000000000005,-4.1,-3,-13.0,-2,1
